times,agents,items
9.179363609,4.0,12.0
16.100313525,4.0,12.0
7.579565782,4.0,12.0
1.57666622,4.0,10.0
6.492306242,4.0,12.0
0.969770804,4.0,10.0
0.860204711,4.0,9.0
14.081570997,4.0,12.0
0.884178341,4.0,9.0
4.872122461,4.0,11.0
3.749718124,4.0,11.0
2.226186826,4.0,10.0
0.762661376,4.0,9.0
8.046090622,4.0,12.0
9.037940634,4.0,12.0
0.718329959,4.0,8.0
11.171284022,4.0,12.0
1.154354687,4.0,9.0
4.931958071,4.0,12.0
1.708767788,4.0,10.0
0.720322404,4.0,8.0
1.86102997,4.0,10.0
4.797678597,4.0,12.0
1.917025443,4.0,11.0
10.610617373,4.0,12.0
0.743559462,4.0,8.0
0.876955428,4.0,8.0
1.997040488,4.0,10.0
0.725648521,4.0,8.0
1.561508238,4.0,10.0
6.013344328,4.0,12.0
0.701866115,4.0,8.0
1.263018192,4.0,10.0
3.570775917,4.0,11.0
1.07979475,4.0,9.0
3.155690574,4.0,10.0
3.4438031,4.0,11.0
1.592860179,4.0,10.0
1.056109622,4.0,10.0
4.361586422,4.0,11.0
12.866101551,4.0,12.0
5.380351892,4.0,12.0
1.042837159,4.0,9.0
0.836337427,4.0,9.0
1.528919318,4.0,10.0
0.6407717,4.0,8.0
1.70631787,4.0,10.0
3.055438156,4.0,11.0
0.949530004,4.0,9.0
4.598417645,4.0,11.0
0.986940029,4.0,9.0
4.130774558,4.0,12.0
0.704796264,4.0,8.0
18.687344106,4.0,12.0
0.753839914,4.0,8.0
16.577649095,4.0,12.0
1.114923114,4.0,9.0
1.110488336,4.0,9.0
0.998726706,4.0,9.0
2.977937707,4.0,11.0
0.658590946,4.0,8.0
0.803134336,4.0,8.0
0.675364449,4.0,8.0
0.950424932,4.0,9.0
0.776411052,4.0,8.0
3.908084916,4.0,11.0
1.786854781,4.0,10.0
6.015994992,4.0,11.0
0.660358675,4.0,8.0
3.602143687,4.0,11.0
10.063389142,4.0,12.0
0.996567318,4.0,9.0
0.73301736,4.0,8.0
3.064114765,4.0,11.0
0.582555091,4.0,8.0
0.623594302,4.0,8.0
1.563828162,4.0,10.0
1.710815616,4.0,11.0
12.900684145,4.0,12.0
0.707575789,4.0,8.0
1.131633812,4.0,9.0
2.309175798,4.0,11.0
2.882259831,4.0,11.0
13.431075979,4.0,12.0
2.168466178,4.0,10.0
1.928801444,4.0,10.0
1.680100408,4.0,11.0
0.876725365,4.0,9.0
0.700565634,4.0,8.0
2.278577557,4.0,11.0
0.872621263,4.0,8.0
0.718702808,4.0,8.0
16.022218924,4.0,12.0
0.798799513,4.0,9.0
1.043407485,4.0,9.0
2.471028362,4.0,11.0
2.497423794,4.0,10.0
1.148816696,4.0,9.0
2.152240657,4.0,11.0
0.656183594,4.0,8.0
